citation,term,chief,case_name,lean,maj_votes,min_votes,issue,issue_description
206 U.S. 28,1906,Fuller,HISCOCK v. VARICK BANK OF NEW YORK,liberal,9,0,80030,bankruptcy (except in the context of priority of federal fiscal claims)
206 U.S. 285,1906,Fuller,KESSLER v. ELDRED,conservative,9,0,80180,patents and copyrights: patent
206 U.S. 323,1906,Fuller,"in re JAMES POLLITZ, PETITIONER",conservative,9,0,90420,"judicial administration: extraordinary relief (e.g., mandamus, injunction)
Note: jurisdiction of the federal courts or of the Supreme Court"
206 U.S. 333,1906,Fuller,"HOMER E. GRAFTON, PLAINTIFF IN ERROR v. THE UNITED STATES",liberal,9,0,10170,double jeopardy
206 U.S. 370,1906,Fuller,UNITED STATES v. HEINSZEN & COMPANY,conservative,6,2,130015,"executive authority vis-a-vis congress or the states
Note: prior to 2014 Release 01, id = 100035"
206 U.S. 392,1906,Fuller,"BUCK v. BEACH, TREASURER OF TIPPECANOE COUNTY, INDIANA",liberal,7,2,40060,due process: jurisdiction (jurisdiction over non-resident litigants)
206 U.S. 41,1906,Fuller,CHAPMAN AND DEWEY LAND COMPANY v. BIGELOW,conservative,9,0,90350,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from highest state court
Note: jurisdiction of the federal courts or of the Supreme Court"
206 U.S. 415,1906,Fuller,SECURITY WAREHOUSING COMPANY v. HAND,liberal,9,0,80030,bankruptcy (except in the context of priority of federal fiscal claims)
206 U.S. 428,1906,Fuller,SOUTHERN RAILWAY COMPANY v. TIFT,liberal,7,1,80220,federal or state regulation of transportation regulation: railroad
206 U.S. 441,1906,Fuller,"ILLINOIS CENTRAL RAILROAD COMPANY, GULF AND SHIP ISLAND RAILROAD COMPANY, SOUTHERN RAILROAD COMPANY v. THE INTERSTATE COMMERCE COMMISSION",liberal,7,1,80220,federal or state regulation of transportation regulation: railroad
206 U.S. 467,1906,Fuller,UNITED STATES v. PAINE LUMBER COMPANY,liberal,8,0,20150,Indians (other than pertains to state jurisdiction over)
206 U.S. 474,1906,Fuller,COPPER QUEEN CONSOLIDATED MINING COMPANY v. TERRITORIAL BOARD OF EQUALIZATION OF THE TERRITORY OF ARIZONA,liberal,9,0,80100,"state or local government tax
Note: those challenged on the basis of the supremacy clause and the 21st Amendment may also locate in national supremacy: intergovernmental tax immunity or national supremacy: state tax"
206 U.S. 482,1906,Fuller,IOWA RAILROAD LAND COMPANY v. BLUMER,liberal,9,0,80105,"state and territorial land claims
Note: those challenged on the basis of the supremacy clause and the 21st Amendment may also locate in national supremacy: intergovernmental tax immunity or national supremacy: state tax"
206 U.S. 496,1906,Fuller,VICKSBURG v. VICKSBURG WATERWORKS COMPANY,conservative,9,0,80110,"state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)"
206 U.S. 536,1906,Fuller,SAUER v. CITY OF NEW YORK,conservative,7,2,40070,"due process: takings clause, or other non-constitutional governmental taking of property"
207 U.S. 100,1907,Fuller,"THE PEOPLE OF THE STATE OF ILLINOIS EX REL. MCNICHOLS v. PEASE, SHERIFF OF COOK COUNTY",conservative,9,0,10020,habeas corpus
207 U.S. 113,1907,Fuller,KENT v. PEOPLE OF PORTO RICO,conservative,9,0,90350,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from highest state court
Note: jurisdiction of the federal courts or of the Supreme Court"
207 U.S. 120,1907,Fuller,TAYLOR v. UNITED STATES,conservative,9,0,20310,"immigration and naturalization: miscellaneous
Note: cf. statutory construction of criminal laws: immigration, deportation, and employability of aliens"
207 U.S. 127,1907,Fuller,"CENTRAL OF GEORGIA RAILWAY COMPANY v. WRIGHT, COMPTROLLER-GENERAL OF GEORGIA",conservative,9,0,80100,"state or local government tax
Note: those challenged on the basis of the supremacy clause and the 21st Amendment may also locate in national supremacy: intergovernmental tax immunity or national supremacy: state tax"
207 U.S. 142,1907,Fuller,CHAMBERS v. BALTIMORE AND OHIO RAILROAD COMPANY,liberal,6,3,90350,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from highest state court
Note: jurisdiction of the federal courts or of the Supreme Court"
207 U.S. 161,1907,Fuller,HUNTER v. CITY OF PITTSBURGH,liberal,9,0,90510,"Supreme Court's certiorari, writ of error, or appeals jurisdiction
Note: jurisdiction of the federal courts or of the Supreme Court"
207 U.S. 181,1907,Fuller,WEBSTER COAL AND COKE COMPANY v. CASSATT,conservative,9,0,90160,"no merits: dismissed or affirmed for want of a substantial or properly presented federal question, or a nonsuit 
Note: use only if the syllabus or the summary holding specifies one of the following bases."
207 U.S. 187,1907,Fuller,PENNSYLVANIA COAL AND COKE COMPANY v. CASSATT,conservative,9,0,90160,"no merits: dismissed or affirmed for want of a substantial or properly presented federal question, or a nonsuit 
Note: use only if the syllabus or the summary holding specifies one of the following bases."
207 U.S. 188,1907,Fuller,SHOENER v. COMMONWEALTH OF PENNSYLVANIA,liberal,9,0,10170,double jeopardy
207 U.S. 196,1907,Fuller,CORTELYOU v. CHARLES ENEU JOHNSON & COMPANY,conservative,9,0,80180,patents and copyrights: patent
207 U.S. 20,1907,Fuller,"RAYMOND, TREASURER OF COOK COUNTY, ILLINOIS, v. CHICAGO UNION TRACTION COMPANY",conservative,7,2,80100,"state or local government tax
Note: those challenged on the basis of the supremacy clause and the 21st Amendment may also locate in national supremacy: intergovernmental tax immunity or national supremacy: state tax"
207 U.S. 201,1907,Fuller,VAIL v. TERRITORY OF ARIZONA,liberal,9,0,80100,"state or local government tax
Note: those challenged on the basis of the supremacy clause and the 21st Amendment may also locate in national supremacy: intergovernmental tax immunity or national supremacy: state tax"
207 U.S. 205,1907,Fuller,BITTERMAN v. LOUISVILLE AND NASHVILLE RAILROAD COMPANY,conservative,9,0,80220,federal or state regulation of transportation regulation: railroad
207 U.S. 229,1907,Fuller,UNITED STATES v. R.P. ANDREWS & COMPANY,conservative,9,0,80060,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action."
207 U.S. 244,1907,Fuller,EARLE v. MYERS,liberal,9,0,60010,attorneys' and governmental employees' or officials' fees or compensation or licenses
207 U.S. 251,1907,Fuller,OZAN LUMBER COMPANY v. UNION COUNTY NATIONAL BANK OF LIBERTY,conservative,9,0,80180,patents and copyrights: patent
207 U.S. 258,1907,Fuller,BANK OF KENTUCKY v. COMMONWEALTH OF KENTUCKY,liberal,9,0,90460,"judicial administration: collateral estoppel or res judicata
Note: jurisdiction of the federal courts or of the Supreme Court"
207 U.S. 270,1907,Fuller,ARKANSAS SOUTHERN RAILROAD COMPANY v. GERMAN NATIONAL BANK,conservative,9,0,90510,"Supreme Court's certiorari, writ of error, or appeals jurisdiction
Note: jurisdiction of the federal courts or of the Supreme Court"
207 U.S. 277,1907,Fuller,PATCH v. WABASH RAILROAD COMPANY,conservative,9,0,90090,"comity primarily removal cases, civil procedure (cf. comity, criminal and First Amendment); deference to foreign judicial tribunals
Note: propriety of federal court deference to ongoing state judicial or state or federal quasi-judicial proceedings, the abstention doctrine, exhaustion of state provided remedies"
207 U.S. 284,1907,Fuller,AMERICAN TOBACCO COMPANY v. WERCKMEISTER,conservative,9,0,80190,patents and copyrights: copyright
207 U.S. 302,1907,Fuller,CHUNN v. CITY AND SUBURBAN RAILWAY OF WASHINGTON,liberal,9,0,80070,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages"
207 U.S. 328,1907,Fuller,"ATLANTIC COAST LINE RAILROAD COMPANY v. WHARTON et al., RAILROAD COMMISSIONERS OF THE STATE OF SOUTH CAROLINA",conservative,9,0,80110,"state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)"
207 U.S. 338,1907,Fuller,HEATH & MILLIGAN MANUFACTURING COMPANY v. WORST,liberal,9,0,80110,"state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)"
207 U.S. 359,1907,Fuller,VANDALIA RAILROAD COMPANY v. INDIANA EX REL. THE CITY OF SOUTH BEND,conservative,9,0,90170,"no merits: dismissed or affirmed for want of jurisdiction (cf. judicial administration: Supreme Court jurisdiction or authority on appeal from federal district courts or courts of appeals)
Note: use only if the syllabus or the summary holding specifies one of the following bases."
207 U.S. 368,1907,Fuller,PARAISO v. UNITED STATES,conservative,8,1,90350,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from highest state court
Note: jurisdiction of the federal courts or of the Supreme Court"
207 U.S. 372,1907,Fuller,FLEMISTER v. UNITED STATES,conservative,8,1,10170,double jeopardy
207 U.S. 375,1907,Fuller,WERCKMEISTER v. AMERICAN TOBACCO COMPANY,liberal,9,0,80190,patents and copyrights: copyright
207 U.S. 385,1907,Fuller,"WATER, LIGHT AND GAS COMPANY OF HUTCHINSON v. THE CITY OF HUTCHINSON, KANSAS",conservative,9,0,80110,"state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)"
207 U.S. 398,1907,Fuller,THE HAMILTON,conservative,9,0,80070,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages"
207 U.S. 407,1907,Fuller,HOLT v. MURPHY,liberal,9,0,20240,"military: active duty
Note: cf. conscientious objectors and comity: military"
207 U.S. 42,1907,Fuller,"RAYMOND, COUNTY TREASURER, v. CHICAGO EDISON COMPANY",conservative,7,2,80100,"state or local government tax
Note: those challenged on the basis of the supremacy clause and the 21st Amendment may also locate in national supremacy: intergovernmental tax immunity or national supremacy: state tax"
207 U.S. 425,1907,Fuller,WILLIAMSON v. UNITED STATES,liberal,8,0,10530,"statutory construction of criminal laws: perjury (other than as pertains to statutory construction of criminal laws: false statements)
Note: these codes, by definition exclude the constitutionality of these laws"
207 U.S. 43,1907,Fuller,"TILT v. KELSEY, COMPTROLLER OF THE STATE OF NEW YORK",conservative,8,1,80100,"state or local government tax
Note: those challenged on the basis of the supremacy clause and the 21st Amendment may also locate in national supremacy: intergovernmental tax immunity or national supremacy: state tax"
207 U.S. 463,1907,Fuller,THE EMPLOYERS' LIABILITY CASES,conservative,5,4,80220,federal or state regulation of transportation regulation: railroad
207 U.S. 541,1907,Fuller,"CONSOLIDATED RENDERING COMPANY v. THE STATE OF VERMONT, BY CLARKE C. FITTS, ATTORNEY GENERAL",conservative,9,0,90380,"judicial administration: review of non-final order
Note: jurisdiction of the federal courts or of the Supreme Court"
207 U.S. 556,1907,Fuller,ANHEUSER-BUSCH BREWING ASSOCIATION v. THE UNITED STATES,conservative,9,0,120020,"federal taxation of gifts, personal, business, or professional expenses"
207 U.S. 564,1907,Fuller,WINTERS v. THE UNITED STATES,liberal,8,1,20150,Indians (other than pertains to state jurisdiction over)
207 U.S. 61,1907,Fuller,ex parte THE FIRST NATIONAL BANK OF CHICAGO,conservative,9,0,90320,"judicial administration: jurisdiction or authority of federal district courts or territorial courts
Note: jurisdiction of the federal courts or of the Supreme Court (cf. no merits: dismissed for want of jurisdiction)"
207 U.S. 67,1907,Fuller,LEE v. STATE OF NEW JERSEY,liberal,9,0,80130,"natural resources - environmental protection (cf. national supremacy: natural resources, national supremacy: pollution)"
207 U.S. 73,1907,Fuller,SEABOARD AIR LINE RAILWAY v. SEEGERS,conservative,8,1,80110,"state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)"
207 U.S. 79,1907,Fuller,INTERSTATE CONSOLIDATED STREET RAILWAY COMPANY v. COMMONWEALTH OF MASSACHUSETTS,liberal,8,0,20170,juveniles (cf. rights of illegitimates)
207 U.S. 89,1907,Fuller,"CHAPMAN, TRUSTEE IN BANKRUPTCY OF MCCOY, v. BOWEN",liberal,9,0,80030,bankruptcy (except in the context of priority of federal fiscal claims)
207 U.S. 93,1907,Fuller,LEATHE v. THOMAS,conservative,7,2,90350,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from highest state court
Note: jurisdiction of the federal courts or of the Supreme Court"
208 U.S. 1,1907,Fuller,CARRINGTON v. UNITED STATES,liberal,9,0,20240,"military: active duty
Note: cf. conscientious objectors and comity: military"
208 U.S. 113,1907,Fuller,I.M. DARNELL & SON COMPANY v. CITY OF MEMPHIS,conservative,9,0,80100,"state or local government tax
Note: those challenged on the basis of the supremacy clause and the 21st Amendment may also locate in national supremacy: intergovernmental tax immunity or national supremacy: state tax"
208 U.S. 126,1907,Fuller,SOUTHERN PINE LUMBER COMPANY v. WARD,liberal,9,0,90510,"Supreme Court's certiorari, writ of error, or appeals jurisdiction
Note: jurisdiction of the federal courts or of the Supreme Court"
208 U.S. 14,1907,Fuller,"NEW YORK EX REL. EDWARD AND JOHN BURKE, LIMITED, v. WELLS et al., AS COMMISSIONERS OF TAXES AND ASSESSMENTS OF THE CITY OF NEW YORK",liberal,9,0,80100,"state or local government tax
Note: those challenged on the basis of the supremacy clause and the 21st Amendment may also locate in national supremacy: intergovernmental tax immunity or national supremacy: state tax"
208 U.S. 144,1907,Fuller,ex parte SIMON,conservative,9,0,10020,habeas corpus
208 U.S. 149,1907,Fuller,"HOUGHTON v. MEYER, POSTMASTER GENERAL",liberal,9,0,80060,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action."
208 U.S. 161,1907,Fuller,ADAIR v. UNITED STATES,conservative,6,2,70080,labor-management disputes: employee discharge
208 U.S. 192,1907,Fuller,BRAXTON COUNTY COURT v. THE STATE OF WEST VIRGINIA EX REL. THE STATE TAX COMMISSIONERS,conservative,9,0,90170,"no merits: dismissed or affirmed for want of jurisdiction (cf. judicial administration: Supreme Court jurisdiction or authority on appeal from federal district courts or courts of appeals)
Note: use only if the syllabus or the summary holding specifies one of the following bases."
208 U.S. 198,1907,Fuller,UNITED STATES v. A. GRAF DISTILLING COMPANY,liberal,9,0,120010,"federal taxation, typically under provisions of the Internal Revenue Code
Note: except as pertains to federal taxation of gifts or priority of federal fiscal claims"
208 U.S. 208,1907,Fuller,"PENN REFINING COMPANY, LIMITED, v. WESTERN NEW YORK AND PENNSYLVANIA RAILROAD COMPANY",liberal,7,2,80220,federal or state regulation of transportation regulation: railroad
208 U.S. 234,1907,Fuller,MISSOURI VALLEY LAND COMPANY v. WIESE,liberal,9,0,90510,"Supreme Court's certiorari, writ of error, or appeals jurisdiction
Note: jurisdiction of the federal courts or of the Supreme Court"
208 U.S. 250,1907,Fuller,MISSOURI VALLEY LAND COMPANY v. WRICH,liberal,9,0,90510,"Supreme Court's certiorari, writ of error, or appeals jurisdiction
Note: jurisdiction of the federal courts or of the Supreme Court"
208 U.S. 251,1907,Fuller,"MINNEAPOLIS, ST. PAUL AND SAULT STE. MARIE RAILWAY COMPANY v. DOUGHTY",conservative,9,0,80220,federal or state regulation of transportation regulation: railroad
208 U.S. 260,1907,Fuller,UNITED DICTIONARY COMPANY v. G. & C. MERRIAM COMPANY,conservative,9,0,80190,patents and copyrights: copyright
208 U.S. 267,1907,Fuller,DONNELL v. HERRING-HALL-MARVIN SAFE COMPANY,liberal,9,0,90090,"comity primarily removal cases, civil procedure (cf. comity, criminal and First Amendment); deference to foreign judicial tribunals
Note: propriety of federal court deference to ongoing state judicial or state or federal quasi-judicial proceedings, the abstention doctrine, exhaustion of state provided remedies"
208 U.S. 274,1907,Fuller,LOEWE v. LAWLOR,conservative,9,0,70020,union antitrust: legality of anticompetitive union activity
208 U.S. 309,1907,Fuller,"LEWIS v. HERRERA, RECEIVER OF THE INTERNATIONAL BANK IN NOGALES",conservative,9,0,20100,debtors' rights
208 U.S. 316,1907,Fuller,CLEVELAND TERMINAL AND VALLEY RAILROAD COMPANY v. CLEVELAND STEAMSHIP COMPANY,conservative,9,0,80070,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages"
208 U.S. 32,1907,Fuller,UNITED STATES v. MILLER,liberal,9,0,60010,attorneys' and governmental employees' or officials' fees or compensation or licenses
208 U.S. 321,1907,Fuller,THE TROY,conservative,9,0,80070,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages"
208 U.S. 324,1907,Fuller,"ARMSTRONG, AS LIQUIDATOR OF BOYSEN & COMPANY, v. FERNADEZ",conservative,9,0,80030,bankruptcy (except in the context of priority of federal fiscal claims)
208 U.S. 333,1907,Fuller,"UNITED STATES v. LARKIN, INTERVENOR AND CLAIMANT",conservative,9,0,90170,"no merits: dismissed or affirmed for want of jurisdiction (cf. judicial administration: Supreme Court jurisdiction or authority on appeal from federal district courts or courts of appeals)
Note: use only if the syllabus or the summary holding specifies one of the following bases."
208 U.S. 340,1907,Fuller,DICK v. UNITED STATES,conservative,9,0,20150,Indians (other than pertains to state jurisdiction over)
208 U.S. 378,1907,Fuller,COSMOPOLITAN CLUB v. COMMONWEALTH OF VIRGINIA,liberal,9,0,80110,"state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)"
208 U.S. 38,1907,Fuller,WABASH RAILROAD COMPANY v. ADELBERT COLLEGE OF THE WESTERN RESERVE UNIVERSITY,liberal,7,2,90320,"judicial administration: jurisdiction or authority of federal district courts or territorial courts
Note: jurisdiction of the federal courts or of the Supreme Court (cf. no merits: dismissed for want of jurisdiction)"
208 U.S. 386,1907,Fuller,BASSING v. CADY,conservative,9,0,10320,"subconstitutional fair procedure: fugitive from justice
Note: nonsubstantive rules and procedures pertaining to the administration of justice that do not rise to the level of a constitutional matter. This is the residual category insofar as criminal procedure is concerned. Note that this issue need not necessarily pertain to a criminal action. If the case involves an indigent, consider indigent categories."
208 U.S. 393,1907,Fuller,UNITED STATES v. BITTY,conservative,9,0,10480,"statutory construction of criminal laws: immigration (cf. immigration and naturalization)
Note: these codes, by definition exclude the constitutionality of these laws"
208 U.S. 412,1907,Fuller,"MULLER, PLAINTIFF IN ERROR, v. THE STATE OF OREGON",conservative,9,0,20140,sex discrimination in employment (cf. sex discrimination)
208 U.S. 423,1907,Fuller,"BIEN v. ROBINSON, RECEIVER OF HAIGHT & FREESE COMPANY",conservative,9,0,90510,"Supreme Court's certiorari, writ of error, or appeals jurisdiction
Note: jurisdiction of the federal courts or of the Supreme Court"
208 U.S. 429,1907,Fuller,NOTLEY v. BROWN,conservative,9,0,90350,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from highest state court
Note: jurisdiction of the federal courts or of the Supreme Court"
208 U.S. 452,1907,Fuller,GREAT NORTHERN RAILWAY COMPANY v. UNITED STATES,liberal,9,0,80220,federal or state regulation of transportation regulation: railroad
208 U.S. 472,1907,Fuller,PHILLIPS v. CITY OF MOBILE,liberal,9,0,80100,"state or local government tax
Note: those challenged on the basis of the supremacy clause and the 21st Amendment may also locate in national supremacy: intergovernmental tax immunity or national supremacy: state tax"
208 U.S. 480,1907,Fuller,RICHARD v. CITY OF MOBILE,liberal,9,0,80100,"state or local government tax
Note: those challenged on the basis of the supremacy clause and the 21st Amendment may also locate in national supremacy: intergovernmental tax immunity or national supremacy: state tax"
208 U.S. 481,1907,Fuller,"UGHBANKS v. ARMSTRONG, WARDEN OF THE MICHIGAN STATE PRISON",conservative,8,1,10020,habeas corpus
208 U.S. 489,1907,Fuller,"JETTON, REVENUE AGENT OF THE STATE OF TENNESSEE, v. UNIVERSITY OF THE SOUTH",conservative,9,0,80100,"state or local government tax
Note: those challenged on the basis of the supremacy clause and the 21st Amendment may also locate in national supremacy: intergovernmental tax immunity or national supremacy: state tax"
208 U.S. 505,1907,Fuller,BENNETT v. BENNETT,liberal,8,1,20130,sex discrimination (excluding sex discrimination in employment)
208 U.S. 515,1907,Fuller,CRARY v. DYE,liberal,9,0,90460,"judicial administration: collateral estoppel or res judicata
Note: jurisdiction of the federal courts or of the Supreme Court"
208 U.S. 527,1907,Fuller,STARR v. CAMPBELL,conservative,9,0,20150,Indians (other than pertains to state jurisdiction over)
208 U.S. 548,1907,Fuller,FIRST NATIONAL BANK OF ALBUQUERQUE v. ALBRIGHT,conservative,9,0,100060,"national supremacy: intergovernmental tax immunity
Note: in the context of federal-state conflicts involving the general welfare, supremacy, or interstate commerce clauses, the 11th or 21st Amendments, or the enforcement clause of the 14th Amendment. Distinguishable from federal pre-emption because of a constitutional basis for decision."
208 U.S. 554,1907,Fuller,HERRING-HALL-MARVIN SAFE COMPANY v. HALL'S SAFE COMPANY,conservative,9,0,80010,antitrust (except in the context of mergers and union antitrust)
208 U.S. 561,1907,Fuller,UNITED STATES v. SISSETON AND WAHPETON BANDS OF SIOUX INDIANS,liberal,8,1,20150,Indians (other than pertains to state jurisdiction over)
208 U.S. 570,1907,Fuller,DISCONTO GESELLSCHAFT v. UMBREIT,conservative,9,0,20100,debtors' rights
208 U.S. 583,1907,Fuller,NORTHERN PACIFIC RAILWAY COMPANY v. STATE OF MINNESOTA EX REL. THE CITY OF DULUTH,conservative,9,0,90090,"comity primarily removal cases, civil procedure (cf. comity, criminal and First Amendment); deference to foreign judicial tribunals
Note: propriety of federal court deference to ongoing state judicial or state or federal quasi-judicial proceedings, the abstention doctrine, exhaustion of state provided remedies"
208 U.S. 59,1907,Fuller,WINSLOW v. BALTIMORE AND OHIO RAILROAD COMPANY,conservative,9,0,90460,"judicial administration: collateral estoppel or res judicata
Note: jurisdiction of the federal courts or of the Supreme Court"
208 U.S. 598,1907,Fuller,HAIRSTON v. DANVILLE AND WESTERN RAILWAY COMPANY,liberal,9,0,40070,"due process: takings clause, or other non-constitutional governmental taking of property"
208 U.S. 609,1907,Fuller,WABASH RAILROAD COMPANY v. ADELBERT COLLEGE OF THE WESTERN RESERVE UNIVERSITY,conservative,9,0,90090,"comity primarily removal cases, civil procedure (cf. comity, criminal and First Amendment); deference to foreign judicial tribunals
Note: propriety of federal court deference to ongoing state judicial or state or federal quasi-judicial proceedings, the abstention doctrine, exhaustion of state provided remedies"
208 U.S. 64,1907,Fuller,BLUTHENTHAL v. JONES,liberal,9,0,80030,bankruptcy (except in the context of priority of federal fiscal claims)
208 U.S. 75,1907,Fuller,"BLACKLOCK, EXECUTOR OF RINALDO P. SMITH v. UNITED STATES",liberal,9,0,120030,priority of federal fiscal claims: over those of the states or private entities
208 U.S. 8,1907,Fuller,CHIN YOW v. UNITED STATES,liberal,9,0,20110,deportation (cf. immigration and naturalization)
208 U.S. 90,1907,Fuller,RE METROPOLITAN RAILWAY RECEIVERSHIP,conservative,9,0,90420,"judicial administration: extraordinary relief (e.g., mandamus, injunction)
Note: jurisdiction of the federal courts or of the Supreme Court"
209 U.S. 1,1907,Fuller,WHITE-SMITH MUSIC PUBLISHING COMPANY v. APOLLO COMPANY,conservative,9,0,80190,patents and copyrights: copyright
209 U.S. 101,1907,Fuller,HALLOWELL v. UNITED STATES,conservative,9,0,90430,"judicial administration: certification (cf. objection to reason for denial of certiorari or appeal)
Note: jurisdiction of the federal courts or of the Supreme Court"
209 U.S. 108,1907,Fuller,INTERSTATE COMMERCE COMMISSION v. CHICAGO GREAT WESTERN RAILWAY COMPANY,liberal,8,0,80220,federal or state regulation of transportation regulation: railroad
209 U.S. 123,1907,Fuller,ex parte YOUNG,liberal,8,1,90420,"judicial administration: extraordinary relief (e.g., mandamus, injunction)
Note: jurisdiction of the federal courts or of the Supreme Court"
209 U.S. 20,1907,Fuller,DUN v. LUMBERMEN'S CREDIT ASSOCIATION,conservative,9,0,80190,patents and copyrights: copyright
209 U.S. 205,1907,Fuller,"HUNTER, SHERIFF OF BUNCOMBE COUNTY, NORTH CAROLINA, v. WOOD",liberal,8,1,10020,habeas corpus
209 U.S. 211,1907,Fuller,"GENERAL OIL COMPANY v. CRAIN, INSPECTOR OF COAL OIL",conservative,8,1,100060,"national supremacy: intergovernmental tax immunity
Note: in the context of federal-state conflicts involving the general welfare, supremacy, or interstate commerce clauses, the 11th or 21st Amendments, or the enforcement clause of the 14th Amendment. Distinguishable from federal pre-emption because of a constitutional basis for decision."
209 U.S. 251,1907,Fuller,ASBELL v. STATE OF KANSAS,liberal,9,0,80110,"state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)"
209 U.S. 258,1907,Fuller,THOMAS v. STATE OF IOWA,conservative,9,0,90350,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from highest state court
Note: jurisdiction of the federal courts or of the Supreme Court"
209 U.S. 275,1907,Fuller,MCCABE & STEEN CONSTRUCTION COMPANY v. WILSON,conservative,9,0,80070,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages"
209 U.S. 283,1907,Fuller,GARZOT v. DE RUBIO,conservative,9,0,90350,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from highest state court
Note: jurisdiction of the federal courts or of the Supreme Court"
209 U.S. 317,1907,Fuller,NATIONAL LIFE INSURANCE COMPANY OF THE UNITED STATES OF AMERICA v. NATIONAL LIFE INSURANCE COMPANY,conservative,9,0,90120,judicial review of administrative agency's or administrative official's actions and procedures
209 U.S. 337,1907,Fuller,UNITED STATES v. CERECEDO HERMANOS Y COMPANIA,liberal,9,0,120020,"federal taxation of gifts, personal, business, or professional expenses"
209 U.S. 340,1907,Fuller,THOMPSON v. COMMONWEALTH OF KENTUCKY,liberal,9,0,80100,"state or local government tax
Note: those challenged on the basis of the supremacy clause and the 21st Amendment may also locate in national supremacy: intergovernmental tax immunity or national supremacy: state tax"
209 U.S. 349,1907,Fuller,"HUDSON COUNTY WATER COMPANY v. MCCARTER, ATTORNEY GENERAL OF THE STATE OF NEW JERSEY",liberal,8,1,80110,"state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)"
209 U.S. 36,1907,Fuller,BATTLE v. UNITED STATES,conservative,9,0,10220,extra-legal jury influences: jury instructions (not necessarily in criminal cases)
209 U.S. 365,1907,Fuller,"RICHARDSON, TRUSTEE IN BANKRUPTCY, v. SHAW",liberal,9,0,80030,bankruptcy (except in the context of priority of federal fiscal claims)
209 U.S. 385,1907,Fuller,THOMAS v. TAGGART,conservative,9,0,80030,bankruptcy (except in the context of priority of federal fiscal claims)
209 U.S. 39,1907,Fuller,UNITED STATES v. THAYER,conservative,9,0,10430,"statutory construction of criminal laws: financial (other than in fraud or internal revenue)
Note: these codes, by definition exclude the constitutionality of these laws"
209 U.S. 393,1907,Fuller,"BEADLES v. SMYSER, MAYOR OF THE CITY OF PERRY, OKLAHOMA",liberal,9,0,90460,"judicial administration: collateral estoppel or res judicata
Note: jurisdiction of the federal courts or of the Supreme Court"
209 U.S. 405,1907,Fuller,WARE AND LELAND v. MOBILE COUNTY,conservative,9,0,80100,"state or local government tax
Note: those challenged on the basis of the supremacy clause and the 21st Amendment may also locate in national supremacy: intergovernmental tax immunity or national supremacy: state tax"
209 U.S. 414,1907,Fuller,LONGYEAR v. TOOLAN,liberal,9,0,40020,"due process: hearing or notice (other than as pertains to government employees or prisoners' rights)
Note: hearing may be statutorily based"
209 U.S. 419,1907,Fuller,"STICKNEY v. KELSEY, COMPTROLLER OF THE STATE OF NEW YORK",conservative,9,0,90350,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from highest state court
Note: jurisdiction of the federal courts or of the Supreme Court"
209 U.S. 423,1907,Fuller,SHAWNEE COMPRESS COMPANY v. ANDERSON,conservative,9,0,90350,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from highest state court
Note: jurisdiction of the federal courts or of the Supreme Court"
209 U.S. 436,1907,Fuller,ex parte THE STATE OF NEBRASKA,liberal,9,0,90090,"comity primarily removal cases, civil procedure (cf. comity, criminal and First Amendment); deference to foreign judicial tribunals
Note: propriety of federal court deference to ongoing state judicial or state or federal quasi-judicial proceedings, the abstention doctrine, exhaustion of state provided remedies"
